# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/amp/amp_body.rgba16.inc.c	2048	[1888800, 6936]
texture	actors/amp/amp_electricity.rgba16.inc.c	1024	[1888800, 3864]
texture	actors/amp/amp_eyes.rgba16.inc.c	2048	[1888800, 4888]
texture	actors/amp/amp_mouth.rgba16.inc.c	2048	[1888800, 8984]
texture	actors/blue_coin_switch/blue_coin_switch_side.rgba16.inc.c	1024	[1888800, 24]
texture	actors/blue_coin_switch/blue_coin_switch_top.rgba16.inc.c	2048	[1888800, 1048]
texture	actors/blue_fish/blue_fish.rgba16.inc.c	2048	[1950768, 112096]
texture	actors/bobomb/bob-omb_buddy_left_side.rgba16.inc.c	4096	[1113408, 120]
texture	actors/bobomb/bob-omb_buddy_right_side.rgba16.inc.c	4096	[1113408, 4216]
texture	actors/bobomb/bob-omb_eyes.rgba16.inc.c	2048	[1113408, 18552]
texture	actors/bobomb/bob-omb_eyes_blink.rgba16.inc.c	2048	[1113408, 20600]
texture	actors/bobomb/bob-omb_left_side.rgba16.inc.c	4096	[1888800, 121440]
texture	actors/bobomb/bob-omb_right_side.rgba16.inc.c	4096	[1888800, 125536]
texture	actors/bomb/bomb_left_side.rgba16.inc.c	4096	[1455200, 359440]
texture	actors/bomb/bomb_right_side.rgba16.inc.c	4096	[1455200, 363536]
texture	actors/bomb/bomb_spike.rgba16.inc.c	2048	[1455200, 367632]
texture	actors/boo/boo_eyes.rgba16.inc.c	4096	[1318016, 39744]
texture	actors/boo/boo_mouth.rgba16.inc.c	2048	[1318016, 43840]
texture	actors/boo_castle/bbh_boo_eyes.rgba16.inc.c	4096	[1318016, 39744]
texture	actors/boo_castle/bbh_boo_mouth.rgba16.inc.c	2048	[1318016, 43840]
texture	actors/book/book_cover.rgba16.inc.c	2048	[1318016, 4192]
texture	actors/bookend/bookend_cover.rgba16.inc.c	2048	[1318016, 4192]
texture	actors/bookend/bookend_mouth.rgba16.inc.c	1024	[1318016, 2144]
texture	actors/bookend/bookend_pages.rgba16.inc.c	1024	[1318016, 3168]
texture	actors/bookend/bookend_spine.rgba16.inc.c	1024	[1318016, 96]
texture	actors/bookend/bookend_tooth.rgba16.inc.c	1024	[1318016, 1120]
texture	actors/bowser/bowser_armband.rgba16.inc.c	2048	[1455200, 146488]
texture	actors/bowser/bowser_armband_spike.rgba16.inc.c	4096	[1455200, 142392]
texture	actors/bowser/bowser_blue_eye_unused.rgba16.inc.c	4096	[1455200, 156728]
texture	actors/bowser/bowser_body.rgba16.inc.c	2048	[1455200, 140344]
texture	actors/bowser/bowser_chest.rgba16.inc.c	2048	[1455200, 152632]
texture	actors/bowser/bowser_claw_edge.rgba16.inc.c	4096	[1455200, 171064]
texture	actors/bowser/bowser_claw_horn_angle.rgba16.inc.c	4096	[1455200, 179256]
texture	actors/bowser/bowser_claw_horn_tooth.rgba16.inc.c	4096	[1455200, 175160]
texture	actors/bowser/bowser_eye_center_0.rgba16.inc.c	4096	[1455200, 195640]
texture	actors/bowser/bowser_eye_center_1.rgba16.inc.c	4096	[1455200, 195640]
texture	actors/bowser/bowser_eye_closed_0.rgba16.inc.c	4096	[1455200, 191544]
texture	actors/bowser/bowser_eye_closed_1.rgba16.inc.c	4096	[1455200, 191544]
texture	actors/bowser/bowser_eye_far_left_0.rgba16.inc.c	4096	[1455200, 203832]
texture	actors/bowser/bowser_eye_far_left_1.rgba16.inc.c	4096	[1455200, 203832]
texture	actors/bowser/bowser_eye_half_closed_0.rgba16.inc.c	4096	[1455200, 187448]
texture	actors/bowser/bowser_eye_half_closed_1.rgba16.inc.c	4096	[1455200, 187448]
texture	actors/bowser/bowser_eye_left_0.rgba16.inc.c	4096	[1455200, 183352]
texture	actors/bowser/bowser_eye_left_1.rgba16.inc.c	4096	[1455200, 183352]
texture	actors/bowser/bowser_eye_right_0.rgba16.inc.c	4096	[1455200, 199736]
texture	actors/bowser/bowser_eye_right_1.rgba16.inc.c	4096	[1455200, 199736]
texture	actors/bowser/bowser_eyebrow.rgba16.inc.c	4096	[1455200, 130104]
texture	actors/bowser/bowser_hair.rgba16.inc.c	4096	[1455200, 166968]
texture	actors/bowser/bowser_mouth_unused.rgba16.inc.c	4096	[1455200, 160824]
texture	actors/bowser/bowser_muzzle.rgba16.inc.c	2048	[1455200, 134200]
texture	actors/bowser/bowser_nostrils.rgba16.inc.c	4096	[1455200, 136248]
texture	actors/bowser/bowser_shell.rgba16.inc.c	2048	[1455200, 128056]
texture	actors/bowser/bowser_shell_edge.rgba16.inc.c	2048	[1455200, 154680]
texture	actors/bowser/bowser_tongue.rgba16.inc.c	4096	[1455200, 148536]
texture	actors/bowser/bowser_upper_face.rgba16.inc.c	2048	[1455200, 164920]
texture	actors/bowser_flame/bowser_flame_0.rgba16.inc.c	8192	[1455200, 0]
texture	actors/bowser_flame/bowser_flame_1.rgba16.inc.c	8192	[1455200, 8192]
