# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/amp/amp_body.rgba16.inc.c	2048	[2040320, 6936]
texture	actors/amp/amp_electricity.rgba16.inc.c	1024	[2040320, 3864]
texture	actors/amp/amp_eyes.rgba16.inc.c	2048	[2040320, 4888]
texture	actors/amp/amp_mouth.rgba16.inc.c	2048	[2040320, 8984]
texture	actors/blue_coin_switch/blue_coin_switch_side.rgba16.inc.c	1024	[2040320, 24]
texture	actors/blue_coin_switch/blue_coin_switch_top.rgba16.inc.c	2048	[2040320, 1048]
texture	actors/blue_fish/blue_fish.rgba16.inc.c	2048	[2102288, 112096]
texture	actors/bobomb/bob-omb_buddy_left_side.rgba16.inc.c	4096	[1264928, 120]
texture	actors/bobomb/bob-omb_buddy_right_side.rgba16.inc.c	4096	[1264928, 4216]
texture	actors/bobomb/bob-omb_eyes.rgba16.inc.c	2048	[1264928, 18552]
texture	actors/bobomb/bob-omb_eyes_blink.rgba16.inc.c	2048	[1264928, 20600]
texture	actors/bobomb/bob-omb_left_side.rgba16.inc.c	4096	[2040320, 121440]
texture	actors/bobomb/bob-omb_right_side.rgba16.inc.c	4096	[2040320, 125536]
texture	actors/bomb/bomb_left_side.rgba16.inc.c	4096	[1606720, 359440]
texture	actors/bomb/bomb_right_side.rgba16.inc.c	4096	[1606720, 363536]
texture	actors/bomb/bomb_spike.rgba16.inc.c	2048	[1606720, 367632]
texture	actors/boo/boo_eyes.rgba16.inc.c	4096	[1469536, 39744]
texture	actors/boo/boo_mouth.rgba16.inc.c	2048	[1469536, 43840]
texture	actors/boo_castle/bbh_boo_eyes.rgba16.inc.c	4096	[1469536, 39744]
texture	actors/boo_castle/bbh_boo_mouth.rgba16.inc.c	2048	[1469536, 43840]
texture	actors/book/book_cover.rgba16.inc.c	2048	[1469536, 4192]
texture	actors/bookend/bookend_cover.rgba16.inc.c	2048	[1469536, 4192]
texture	actors/bookend/bookend_mouth.rgba16.inc.c	1024	[1469536, 2144]
texture	actors/bookend/bookend_pages.rgba16.inc.c	1024	[1469536, 3168]
texture	actors/bookend/bookend_spine.rgba16.inc.c	1024	[1469536, 96]
texture	actors/bookend/bookend_tooth.rgba16.inc.c	1024	[1469536, 1120]
texture	actors/bowser/bowser_armband.rgba16.inc.c	2048	[1606720, 146488]
texture	actors/bowser/bowser_armband_spike.rgba16.inc.c	4096	[1606720, 142392]
texture	actors/bowser/bowser_blue_eye_unused.rgba16.inc.c	4096	[1606720, 156728]
texture	actors/bowser/bowser_body.rgba16.inc.c	2048	[1606720, 140344]
texture	actors/bowser/bowser_chest.rgba16.inc.c	2048	[1606720, 152632]
texture	actors/bowser/bowser_claw_edge.rgba16.inc.c	4096	[1606720, 171064]
texture	actors/bowser/bowser_claw_horn_angle.rgba16.inc.c	4096	[1606720, 179256]
texture	actors/bowser/bowser_claw_horn_tooth.rgba16.inc.c	4096	[1606720, 175160]
texture	actors/bowser/bowser_eye_center_0.rgba16.inc.c	4096	[1606720, 195640]
texture	actors/bowser/bowser_eye_center_1.rgba16.inc.c	4096	[1606720, 195640]
texture	actors/bowser/bowser_eye_closed_0.rgba16.inc.c	4096	[1606720, 191544]
texture	actors/bowser/bowser_eye_closed_1.rgba16.inc.c	4096	[1606720, 191544]
texture	actors/bowser/bowser_eye_far_left_0.rgba16.inc.c	4096	[1606720, 203832]
texture	actors/bowser/bowser_eye_far_left_1.rgba16.inc.c	4096	[1606720, 203832]
texture	actors/bowser/bowser_eye_half_closed_0.rgba16.inc.c	4096	[1606720, 187448]
texture	actors/bowser/bowser_eye_half_closed_1.rgba16.inc.c	4096	[1606720, 187448]
texture	actors/bowser/bowser_eye_left_0.rgba16.inc.c	4096	[1606720, 183352]
texture	actors/bowser/bowser_eye_left_1.rgba16.inc.c	4096	[1606720, 183352]
texture	actors/bowser/bowser_eye_right_0.rgba16.inc.c	4096	[1606720, 199736]
texture	actors/bowser/bowser_eye_right_1.rgba16.inc.c	4096	[1606720, 199736]
texture	actors/bowser/bowser_eyebrow.rgba16.inc.c	4096	[1606720, 130104]
texture	actors/bowser/bowser_hair.rgba16.inc.c	4096	[1606720, 166968]
texture	actors/bowser/bowser_mouth_unused.rgba16.inc.c	4096	[1606720, 160824]
texture	actors/bowser/bowser_muzzle.rgba16.inc.c	2048	[1606720, 134200]
texture	actors/bowser/bowser_nostrils.rgba16.inc.c	4096	[1606720, 136248]
texture	actors/bowser/bowser_shell.rgba16.inc.c	2048	[1606720, 128056]
texture	actors/bowser/bowser_shell_edge.rgba16.inc.c	2048	[1606720, 154680]
texture	actors/bowser/bowser_tongue.rgba16.inc.c	4096	[1606720, 148536]
texture	actors/bowser/bowser_upper_face.rgba16.inc.c	2048	[1606720, 164920]
texture	actors/bowser_flame/bowser_flame_0.rgba16.inc.c	8192	[1606720, 0]
texture	actors/bowser_flame/bowser_flame_1.rgba16.inc.c	8192	[1606720, 8192]
texture	actors/bowser_flame/bowser_flame_10.rgba16.inc.c	8192	[1606720, 81920]
texture	actors/bowser_flame/bowser_flame_11.rgba16.inc.c	8192	[1606720, 90112]
texture	actors/bowser_flame/bowser_flame_12.rgba16.inc.c	8192	[1606720, 98304]
texture	actors/bowser_flame/bowser_flame_13.rgba16.inc.c	8192	[1606720, 106496]
texture	actors/bowser_flame/bowser_flame_2.rgba16.inc.c	8192	[1606720, 16384]
texture	actors/bowser_flame/bowser_flame_3.rgba16.inc.c	8192	[1606720, 24576]
