# Generated by tools/n64stack/frames.py export from build/eu/sm64.eu.elf. Functions on the
# N64's call paths to set_camera_mode, find_floor_from_list, bhv_jrb_sliding_box_loop, with their stack frame sizes.
game_loop_sp	0x802021b8
src/engine/behavior_script.c	bhv_cmd_spawn_child	24
src/engine/behavior_script.c	bhv_cmd_spawn_obj	40
src/engine/behavior_script.c	bhv_cmd_spawn_child_with_param	40
src/engine/behavior_script.c	bhv_cmd_call_native	24
src/engine/behavior_script.c	bhv_cmd_drop_to_floor	24
src/engine/behavior_script.c	bhv_cmd_begin	24
src/engine/behavior_script.c	bhv_cmd_spawn_water_droplet	24
src/engine/behavior_script.c	cur_obj_update	48
src/engine/geo_layout.c	geo_layout_cmd_node_perspective	40
src/engine/geo_layout.c	geo_layout_cmd_node_switch_case	32
src/engine/geo_layout.c	geo_layout_cmd_node_camera	64
src/engine/geo_layout.c	geo_layout_cmd_node_generated	24
src/engine/geo_layout.c	geo_layout_cmd_node_background	32
src/engine/geo_layout.c	geo_layout_cmd_node_held_obj	48
src/engine/geo_layout.c	process_geo_layout	40
src/engine/graph_node.c	init_graph_node_perspective	32
src/engine/graph_node.c	init_graph_node_switch_case	32
src/engine/graph_node.c	init_graph_node_camera	32
src/engine/graph_node.c	init_graph_node_generated	32
src/engine/graph_node.c	init_graph_node_background	32
src/engine/graph_node.c	init_graph_node_held_object	32
src/engine/graph_node.c	geo_call_global_function_nodes_helper	64
src/engine/graph_node.c	geo_call_global_function_nodes	24
src/engine/level_script.c	level_cmd_call	24
src/engine/level_script.c	level_cmd_call_loop	24
src/engine/level_script.c	level_cmd_clear_level	24
src/engine/level_script.c	level_cmd_begin_area	48
src/engine/level_script.c	level_cmd_load_model_from_geo	32
src/engine/level_script.c	level_cmd_load_area	32
src/engine/level_script.c	level_cmd_unload_area	24
src/engine/level_script.c	level_cmd_2C	24
src/engine/level_script.c	level_cmd_2D	24
src/engine/level_script.c	level_script_execute	40
src/engine/math_util.c	mtxf_align_terrain_triangle	144
src/engine/surface_collision.c	unused_obj_find_floor_height	32
src/engine/surface_collision.c	find_floor_height_and_data	32
src/engine/surface_collision.c	find_floor_from_list	24
src/engine/surface_collision.c	find_floor_height	32
src/engine/surface_collision.c	unused_find_dynamic_floor	64
src/engine/surface_collision.c	find_floor	88
src/engine/surface_collision.c	unused_resolve_floor_or_ceil_collisions	56
src/engine/surface_load.c	load_area_terrain	72
