# Generated by tools/n64stack/frames.py export from build/sh/sm64.sh.elf. Functions on the
# N64's call paths to set_camera_mode, with their stack frame sizes.
game_loop_sp	0x802011b8
src/engine/behavior_script.c	bhv_cmd_call_native	24
src/engine/behavior_script.c	cur_obj_update	48
src/engine/geo_layout.c	geo_layout_cmd_node_perspective	40
src/engine/geo_layout.c	geo_layout_cmd_node_switch_case	32
src/engine/geo_layout.c	geo_layout_cmd_node_camera	64
src/engine/geo_layout.c	geo_layout_cmd_node_generated	24
src/engine/geo_layout.c	geo_layout_cmd_node_background	32
src/engine/geo_layout.c	geo_layout_cmd_node_held_obj	48
src/engine/geo_layout.c	process_geo_layout	40
src/engine/graph_node.c	init_graph_node_perspective	32
src/engine/graph_node.c	init_graph_node_switch_case	32
src/engine/graph_node.c	init_graph_node_camera	32
src/engine/graph_node.c	init_graph_node_generated	32
src/engine/graph_node.c	init_graph_node_background	32
src/engine/graph_node.c	init_graph_node_held_object	32
src/engine/graph_node.c	geo_call_global_function_nodes_helper	64
src/engine/graph_node.c	geo_call_global_function_nodes	24
src/engine/level_script.c	level_cmd_call	24
src/engine/level_script.c	level_cmd_call_loop	24
src/engine/level_script.c	level_cmd_clear_level	24
src/engine/level_script.c	level_cmd_begin_area	48
src/engine/level_script.c	level_cmd_load_model_from_geo	32
src/engine/level_script.c	level_cmd_load_area	32
src/engine/level_script.c	level_cmd_unload_area	24
src/engine/level_script.c	level_cmd_2C	24
src/engine/level_script.c	level_cmd_2D	24
src/engine/level_script.c	level_script_execute	40
src/game/area.c	clear_area_graph_nodes	32
src/game/area.c	load_area	24
src/game/area.c	unload_area	24
src/game/area.c	load_mario_area	24
src/game/area.c	unload_mario_area	24
src/game/area.c	change_area	32
src/game/area.c	area_update_objects	24
src/game/area.c	render_game	24
src/game/behavior_actions.c	bhv_mr_i_particle_loop	24
src/game/behavior_actions.c	bhv_mr_i_loop	24
src/game/behavior_actions.c	bhv_cap_switch_loop	24
src/game/behavior_actions.c	king_bobomb_move	24
src/game/behavior_actions.c	bhv_king_bobomb_loop	24
src/game/behavior_actions.c	bhv_cannon_base_loop	24
src/game/behavior_actions.c	chuckya_move	24
src/game/behavior_actions.c	bhv_chuckya_loop	24
src/game/behavior_actions.c	bhv_coin_inside_boo_loop	24
src/game/behavior_actions.c	bhv_grindel_thwomp_loop	24
src/game/behavior_actions.c	bhv_tumbling_bridge_loop	24
src/game/behavior_actions.c	bhv_elevator_loop	24
src/game/behavior_actions.c	bhv_ukiki_cage_loop	24
src/game/behavior_actions.c	heave_ho_move	24
src/game/behavior_actions.c	bhv_heave_ho_loop	24
src/game/behavior_actions.c	jumping_box_free_update	24
src/game/behavior_actions.c	bhv_jumping_box_loop	24
src/game/behavior_actions.c	bhv_beta_boo_key_loop	24
src/game/behavior_actions.c	bhv_bullet_bill_loop	24
src/game/behavior_actions.c	bhv_bowser_tail_anchor_loop	24
src/game/behavior_actions.c	bowser_free_update	40
src/game/behavior_actions.c	bhv_bowser_loop	40
src/game/behavior_actions.c	bhv_falling_bowser_platform_loop	24
src/game/behavior_actions.c	ukiki_free_loop	24
src/game/behavior_actions.c	bhv_ukiki_loop	24
src/game/behavior_actions.c	bhv_lll_rotating_block_fire_bars_loop	24
src/game/behavior_actions.c	bhv_tox_box_loop	24
src/game/behavior_actions.c	bhv_piranha_plant_loop	24
src/game/behavior_actions.c	bhv_lll_bowser_puzzle_piece_loop	24
src/game/behavior_actions.c	bhv_tuxies_mother_loop	24
src/game/behavior_actions.c	small_penguin_free_actions	24
src/game/behavior_actions.c	bhv_small_penguin_loop	24
src/game/behavior_actions.c	bhv_fish_spawner_loop	24
src/game/behavior_actions.c	bhv_fish_loop	32
src/game/behavior_actions.c	bhv_bub_spawner_loop	24
src/game/behavior_actions.c	bhv_bub_loop	24
src/game/behavior_actions.c	bhv_exclamation_box_loop	24
src/game/behavior_actions.c	bhv_tweester_loop	24
src/game/behavior_actions.c	bhv_boo_loop	24
src/game/behavior_actions.c	bhv_big_boo_loop	24
src/game/behavior_actions.c	bhv_boo_with_cage_loop	24
src/game/behavior_actions.c	bhv_whomp_loop	24
src/game/camera.c	mode_cannon_camera	24
src/game/camera.c	set_camera_mode	40
src/game/camera.c	update_camera	32
src/game/camera.c	camera_course_processing	128
src/game/camera.c	cutscene_ending_mario_fall	32
src/game/camera.c	cutscene_ending_stars_free_peach	32
src/game/camera.c	cutscene_ending_peach_appears	32
